post_id,post_url,comment_id,text,created_at,user_id,username,profile_pic_url,parent_comment_id,scraped_at
DQ51a5oEw2y,https://www.instagram.com/p/DQ51a5oEw2y/,18075080645463218,Selamat ulang tahun ke-36 Harian Surya! 🎉 Semoga terus menjadi sumber informasi terpercaya dan inspiratif bagi masyarakat. Terima kasih juga atas kolaborasi positif bersama Perumda Air Minum Surya Sembada!,1762841875,53066164143,heframid,https://instagram.fsub32-2.fna.fbcdn.net/v/t51.2885-19/487101516_1379329606354123_7378908385917134558_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fsub32-2.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QHeKMHU_5jCw_Jsmczj6Hsv4ZZrvtTNgAF8tnhD41IdcY_yHYPZs7C8hg4mW6GRFOQ&_nc_ohc=RCHpCOWtwo4Q7kNvwEuh4dX&_nc_gid=Q0lfLC0QOje2ffiBcShfjQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfhNmpNIxlW3mhLmg522WU7A7F6ifQzyRftNHuqnoUxDxA&oe=691C9DE7&_nc_sid=0985b0,,2025-11-14T11:32:30.969012
DQ51a5oEw2y,https://www.instagram.com/p/DQ51a5oEw2y/,18540359950061107,@heframid Terima kasih Heframid. Semoga sukses dan sejahtera!! -w,1762844716,2019411880,pdamsuryasembada,https://instagram.fsub32-2.fna.fbcdn.net/v/t51.2885-19/336446109_607672788041419_9063785012397573163_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fsub32-2.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QHeKMHU_5jCw_Jsmczj6Hsv4ZZrvtTNgAF8tnhD41IdcY_yHYPZs7C8hg4mW6GRFOQ&_nc_ohc=7613QVNtCdcQ7kNvwHjZb8s&_nc_gid=Q0lfLC0QOje2ffiBcShfjQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Afh9UCwh03ivp4OVqffI02JXylxN_hi7Ln_QjmRcTbAubQ&oe=691C7EA9&_nc_sid=0985b0,,2025-11-14T11:32:30.969035
DQ51a5oEw2y,https://www.instagram.com/p/DQ51a5oEw2y/,18542961421052542,👏👏👏 selalu menjalin kerjasama yg baik dgn media. Keren 👍,1762868957,211942890,kharistiano28,https://instagram.fsub32-2.fna.fbcdn.net/v/t51.2885-19/558791340_18530531644038891_7463382841193312186_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43NjQuYzIifQ&_nc_ht=instagram.fsub32-2.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QHeKMHU_5jCw_Jsmczj6Hsv4ZZrvtTNgAF8tnhD41IdcY_yHYPZs7C8hg4mW6GRFOQ&_nc_ohc=wk9VHH0Vl5MQ7kNvwEMBkRk&_nc_gid=Q0lfLC0QOje2ffiBcShfjQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfgKBmmnmcq_ESEkoHx1a9OXeZ-1YpuOPno8NJZRAlLSsw&oe=691C7EB8&_nc_sid=0985b0,,2025-11-14T11:32:30.969041
DQ51a5oEw2y,https://www.instagram.com/p/DQ51a5oEw2y/,18097328239697834,@kharistiano28 terima kasih Bpk Kharistiano atas apresiasi positifnya. Semoga sehat dan bahagia terus Bapak 🙏☺️🤝 -w,1762904139,2019411880,pdamsuryasembada,https://instagram.fsub32-2.fna.fbcdn.net/v/t51.2885-19/336446109_607672788041419_9063785012397573163_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fsub32-2.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QHeKMHU_5jCw_Jsmczj6Hsv4ZZrvtTNgAF8tnhD41IdcY_yHYPZs7C8hg4mW6GRFOQ&_nc_ohc=7613QVNtCdcQ7kNvwHjZb8s&_nc_gid=Q0lfLC0QOje2ffiBcShfjQ&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Afh9UCwh03ivp4OVqffI02JXylxN_hi7Ln_QjmRcTbAubQ&oe=691C7EA9&_nc_sid=0985b0,,2025-11-14T11:32:30.969046
DQ5v5UsE4As,https://www.instagram.com/p/DQ5v5UsE4As/,18005382170826298,Selamatt dan semangattt indonesiaku😍🔥,1762834417,42580084279,mhmdrizkyy12._,https://instagram.fsub32-2.fna.fbcdn.net/v/t51.2885-19/573211559_18062375360420280_3311460085769449421_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fsub32-2.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QFMPA1aK1QBu-CMfJ2qE333WL-zYqv0fQqAxCn28Qw3t4JdwFF3NDB9A4TJjV1GsB0&_nc_ohc=z0CGE8XJRW0Q7kNvwG3Bm1K&_nc_gid=QrvygUkaWxClwSqnCXFNLw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Afj3XX6yjde-EmYeQnLmWyz7HvZUBe3dOicHgbtulblNig&oe=691C75E2&_nc_sid=0985b0,,2025-11-14T11:33:08.405777
DQ5v5UsE4As,https://www.instagram.com/p/DQ5v5UsE4As/,18073774621996676,@mhmdrizkyy12._ Terima kasih supportnya utk Timnas U17 mas Rizky. Semangat!! -w,1762836908,2019411880,pdamsuryasembada,https://instagram.fsub32-2.fna.fbcdn.net/v/t51.2885-19/336446109_607672788041419_9063785012397573163_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fsub32-2.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QFMPA1aK1QBu-CMfJ2qE333WL-zYqv0fQqAxCn28Qw3t4JdwFF3NDB9A4TJjV1GsB0&_nc_ohc=7613QVNtCdcQ7kNvwHjZb8s&_nc_gid=QrvygUkaWxClwSqnCXFNLw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfiQcopCwW94q-pgQwbtcq-UoOAgPGwvtV4kdVT4Uz3EkQ&oe=691C7EA9&_nc_sid=0985b0,,2025-11-14T11:33:08.405792
DQ5ldh8E_V7,https://www.instagram.com/p/DQ5ldh8E_V7/,18078071812910678,DM KU GA DIBALES KAK,1762829337,3979774829,panggilnaw,https://instagram.fsub32-1.fna.fbcdn.net/v/t51.2885-19/471897037_615451310900687_1324547233435106783_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fsub32-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QGgQ8v4Fe8jevKAPeal0w25O3an65XKX-vfYiye_Uv8fYpZF89TWmOt8SYj64QOsLU&_nc_ohc=G78pwAGiqH8Q7kNvwH7jVCh&_nc_gid=9qfSW8d4wpRxhuB86_rcjg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfgOAoj_LMaP1iySV18nZCTqswaz7ebLGPEjNH4Np7cOtQ&oe=691C9208&_nc_sid=0985b0,,2025-11-14T11:33:50.897656
DQ5ldh8E_V7,https://www.instagram.com/p/DQ5ldh8E_V7/,18042712193694203,"@panggilnaw DMnya telah kami respon kak, tagihannya akan dikoreksi dan utk restitusinya bisa diajukan awal bulan depan dengan persyaratan pengisian formulir restitusi, copy: KTP, buku tabungan, dan bukti pembayaran rekening air dibawa ke Customer Service di Kantor Pusat Perumda Air Minum Surya Sembada, Jl Prof Dr Moestopo nomor 2 Surabaya. Terima kasih -w",1762837137,2019411880,pdamsuryasembada,https://instagram.fsub32-2.fna.fbcdn.net/v/t51.2885-19/336446109_607672788041419_9063785012397573163_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fsub32-2.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QGgQ8v4Fe8jevKAPeal0w25O3an65XKX-vfYiye_Uv8fYpZF89TWmOt8SYj64QOsLU&_nc_ohc=7613QVNtCdcQ7kNvwHjZb8s&_nc_gid=9qfSW8d4wpRxhuB86_rcjg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfiCz-SNqjHfg_9vYUEib4OLZecN1H4SyM7Q3zMmAD8aGg&oe=691C7EA9&_nc_sid=0985b0,,2025-11-14T11:33:50.897670
DQ5ldh8E_V7,https://www.instagram.com/p/DQ5ldh8E_V7/,17867015145476827,@pdamsuryasembada atau dapat juga melalui WA Center ke 08123316666. Terima kasih -w,1762838638,2019411880,pdamsuryasembada,https://instagram.fsub32-2.fna.fbcdn.net/v/t51.2885-19/336446109_607672788041419_9063785012397573163_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fsub32-2.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QGgQ8v4Fe8jevKAPeal0w25O3an65XKX-vfYiye_Uv8fYpZF89TWmOt8SYj64QOsLU&_nc_ohc=7613QVNtCdcQ7kNvwHjZb8s&_nc_gid=9qfSW8d4wpRxhuB86_rcjg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfiCz-SNqjHfg_9vYUEib4OLZecN1H4SyM7Q3zMmAD8aGg&oe=691C7EA9&_nc_sid=0985b0,,2025-11-14T11:33:50.897673
DQ6J9gWE8rk,https://www.instagram.com/p/DQ6J9gWE8rk/,17971535618800655,salam buat  tim spi min,1762851858,1019224913,baang_aziz,https://instagram.fsub32-1.fna.fbcdn.net/v/t51.2885-19/122051475_399668717728398_6690869535308455589_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MjAuYzIifQ&_nc_ht=instagram.fsub32-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QE1QbAJCFgrQYvzDZqqoerExllblIbzGIWawzbp6Xskw66A_fJ8Ll0rX5jGy2ICEvg&_nc_ohc=klbwp11lPCYQ7kNvwG__FQ4&_nc_gid=KmwDLDFDmnR2DcW3mYH0Yg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfiDv6ntMd5znN_XPOyE7d2T85WwtVltD_AwuVEG3czJIg&oe=691C6C3C&_nc_sid=0985b0,,2025-11-14T11:34:31.695820
