post_id,created_at,username,text
DPiRgn6k9BI,2025-10-29 23:44:51 WIB,n_aiiniiii,"['paham', 'harga', 'pasang', 'pdam']"
DPiRgn6k9BI,2025-10-30 05:38:39 WIB,raymundus_aryo,['rame']
DPiRgn6k9BI,2025-10-31 04:47:10 WIB,opera8176,"['pdam', 'jalan', 'gresik', 'mati']"
DPiRgn6k9BI,2025-10-31 10:05:24 WIB,matokebenny,"['tugas', 'wilayah', 'ploso', 'timur', 'kali', 'cek', 'air', 'preman', 'ketuk', 'pagar', 'ugal-ugalan', 'kayu', 'pentung', 'preman', 'pagar', 'tetangga']"
DPiRgn6k9BI,2025-10-31 10:06:07 WIB,matokebenny,"['kali', 'kirim', 'komplain', 'langsung', 'pecat', 'tugas']"
DPiRgn6k9BI,2025-10-31 16:44:04 WIB,opera8176,['terima kasih']
DPiRgn6k9BI,2025-10-12 07:34:51 WIB,shelomitaayr,"['pdam', 'air', 'hati', 'alir', 'baik']"
DPiRgn6k9BI,2025-10-12 09:16:25 WIB,shelomitaayr,"['kebraon', 'susah', 'aktivitas']"
DPiRgn6k9BI,2025-10-12 17:15:13 WIB,ifa8416,['laku']
DPiRgn6k9BI,2025-10-12 23:38:52 WIB,andini_rahmadwiandini,"['syarat', 'lengkap', 'proses', 'pasang']"
DPiRgn6k9BI,2025-10-13 17:23:11 WIB,ibuk.acid,"['karah', 'mati', 'air', 'pemberitahuan', 'tayamum']"
DPiRgn6k9BI,2025-10-13 19:40:37 WIB,alicee.veronaaa,"['aju', 'tanggal', 'september', 'keluar', 'rincian', 'tanggal', 'september', 'bayar', 'batas', 'bayar', 'smp', 'oktober', 'harga', 'promo', 'agustus', 'smp', 'september', 'promo']"
DPiRgn6k9BI,2025-10-14 13:37:42 WIB,alicee.veronaaa,['dm']
DPiRgn6k9BI,2025-10-14 14:57:07 WIB,irma.vidy,"['rungkut', 'industri', 'air', 'mati']"
DPiRgn6k9BI,2025-10-15 10:12:41 WIB,supri.mundo,"['pdam', 'air', 'keruh']"
DPiRgn6k9BI,2025-10-15 20:01:41 WIB,ichsanguntur,"['kertaja', 'kecil', 'air']"
DPiRgn6k9BI,2025-10-15 21:58:31 WIB,superdeden_,"['karang', 'menjangan', 'susah', 'air', 'bos']"
DPiRgn6k9BI,2025-10-16 08:16:36 WIB,raatihangraenii,"['tagih', 'pdam', 'lonjak', 'drastis']"
DPiRgn6k9BI,2025-10-16 18:00:59 WIB,roymarten,"['pdam', 'wonorejo', 'rungkut', 'mati']"
DPiRgn6k9BI,2025-10-17 10:18:29 WIB,novia.turrachmah,"['adu', 'gubris', 'cs', 'tugas', 'air', 'mati', 'hari', 'meter', 'bocor', 'habis', 'ganti', 'meter', 'masalah']"
DPiRgn6k9BI,2025-10-18 22:47:54 WIB,mam_tutz,"['info', 'ganggu', 'air', 'wilayah', 'babat', 'jerawat', 'pondok', 'benowo', 'indah']"
DPiRgn6k9BI,2025-10-19 04:12:37 WIB,diska_kristiani,"['lapor', 'pdam', 'gara-gara', 'air', 'jumat', 'malam', 'nyala', 'ak', 'paksa', 'tidur', 'hawa', 'panas', 'badan', 'lengket', 'nyala', 'langsung', 'mandi', 'isi', 'bak', 'air', 'cuci', 'subuh', 'jam gin', 'ape', 'tidur', 'bos']"
DPiRgn6k9BI,2025-10-19 09:43:35 WIB,quinthariarh,"['baik', 'air', 'nyala', 'rutinitas', 'pdam', 'akhir pekan', 'air', 'nyala']"
DPiRgn6k9BI,2025-10-20 21:39:47 WIB,irwanagatot,"['jalan', 'juwingan', 'air', 'mati', 'info', 'mohon', 'informasi', 'mati']"
DPiRgn6k9BI,2025-10-21 16:25:53 WIB,elmidwi_hartanti,"['info', 'tanggal', 'promo']"
DPiRgn6k9BI,2025-10-23 09:08:55 WIB,irishcartenz8,"['karah', 'air', 'mati', 'air']"
DPiRgn6k9BI,2025-10-23 10:03:50 WIB,kokobramiko,"['ruwet', 'bayar', 'pasang', 'bulan']"
DPiRgn6k9BI,2025-10-25 14:52:38 WIB,hameedaa71,"['daftar', 'pasang', 'pdam', 'daftar']"
DPiRgn6k9BI,2025-10-26 08:35:02 WIB,rafikaiffah,"['pdam', 'air', 'normal', 'minggu', 'pagi', 'nyala', 'wonorejo', 'manuk', 'kulon']"
DPiRgn6k9BI,2025-10-26 18:31:12 WIB,rizamuhammad260491,"['lidah', 'kulon', 'air', 'mati', 'hari']"
DPiRgn6k9BI,2025-10-26 20:28:56 WIB,rizamuhammad260491,"['baik', 'mati', 'malam']"
DPiRgn6k9BI,2025-10-29 14:56:53 WIB,april.liatri,"['pdam', 'baik', 'air', 'keruh', 'bau', 'kayak', 'air', 'air', 'bagus', 'aju', 'komplain', 'cek', 'air', 'bersih', 'isi', 'pagi', 'air', 'bau', 'keruh', 'pdam', 'adu', 'tugas', 'bosan', 'rumah']"
